Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
151030-Debo-Remi-B_7-8-9-F01	endoC1	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		13210	30128	41118	19136	0	21982	5148	5074	0	74	12.52	26.52	NaN	0.34	2409	476886	18835	3.95	4514	23.97	40970	10491	9837	25.61	37.75	4400	41.94	+	0.44286	0.64627	0.30139	0.45616	
151030-Debo-Remi-B_7-8-9-F02	endoC1	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		12594	30316	39730	20902	0	18828	6506	6388	0	118	16.38	30.56	NaN	0.63	3171	448504	19565	4.36	4680	23.92	42104	12035	11403	28.58	40.28	4618	38.37	+	0.45897	0.66439	0.30862	0.46148	
151030-Debo-Remi-B_7-8-9-F03	endoC1	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		11964	31506	39186	23826	0	15360	8390	8267	0	123	21.41	34.7	NaN	0.8	4454	531612	21630	4.07	4760	22.01	55356	14045	13161	25.37	35.35	4998	35.59	+	0.46347	0.66159	0.33393	0.49923	
151030-Debo-Remi-D_13-F01	endoC2	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		16769	26050	34052	18046	0	16006	4776	4702	0	74	14.03	26.06	NaN	0.46	2448	563154	17667	3.14	3960	22.41	43994	10486	9874	23.84	35.65	4156	39.63	+	0.44713	0.66166	0.29305	0.44274	
151030-Debo-Remi-D_13-F02	endoC2	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		14671	27825	35482	20166	0	15316	5955	5834	0	121	16.78	28.93	NaN	0.79	3144	485035	18393	3.79	4120	22.4	43257	11783	11229	27.24	39.14	4265	36.2	+	0.46557	0.69446	0.30386	0.46057	
151030-Debo-Remi-D_13-F03	endoC2	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		13545	29321	35377	23265	0	12112	6463	6368	0	95	18.27	27.37	NaN	0.78	3463	517213	20081	3.88	4893	24.37	54248	13474	12738	24.84	35.39	5061	37.56	+	0.46218	0.67669	0.32866	0.5064	
151030-Debo-Remi-H_26-F01	endoC3	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		17709	24237	29737	18735	0	11002	6728	6604	0	124	22.63	35.25	NaN	1.13	3344	633809	16517	2.61	4023	24.36	51484	11124	10487	21.61	31.91	4154	37.34	+	0.46436	0.68986	0.31137	0.4782	
151030-Debo-Remi-H_26-F02	endoC3	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		16172	25579	30824	20332	0	10492	8228	8089	0	139	26.69	39.78	NaN	1.32	4222	568729	17574	3.09	4241	24.13	50950	12530	12089	24.59	34.42	4389	35.03	+	0.45756	0.68102	0.30409	0.46649	
151030-Debo-Remi-H_26-F03	endoC3	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		13335	29325	34759	23891	0	10868	11475	11338	0	137	33.01	47.46	NaN	1.26	6378	587886	21066	3.58	4594	21.81	67321	15041	14457	22.34	30.07	4905	32.61	+	0.46928	0.68812	0.33731	0.51616	
151030-Debo-Remi-L_37-F01	endoC4	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		18443	23851	30359	17339	0	13020	4004	3923	0	81	13.19	22.63	NaN	0.62	1970	599377	16373	2.73	3786	23.12	44631	10203	9604	22.86	35.65	4001	39.21	+	0.43255	0.62614	0.28561	0.42516	
151030-Debo-Remi-L_37-F02	endoC4	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		16223	25846	32830	18858	0	13972	5428	5318	0	110	16.53	28.2	NaN	0.79	2698	530463	17456	3.29	3961	22.69	41007	11096	10538	27.06	40.26	4080	36.77	+	0.44475	0.65606	0.29081	0.43857	
151030-Debo-Remi-L_37-F03	endoC4	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		13478	28872	35529	22215	0	13314	8133	8001	0	132	22.89	36.02	NaN	0.99	4295	544805	20117	3.69	4509	22.41	53795	13324	12573	24.77	35.32	4655	34.94	+	0.46594	0.69023	0.32961	0.51062	
151030-Debo-Remi-O_46-F01	endoC5	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		17109	25182	32631	17731	0	14900	5458	5398	0	60	16.73	30.44	NaN	0.4	2489	665707	16247	2.44	3899	24	46555	10122	9572	21.74	34.15	3991	39.43	+	0.47503	0.69492	0.32852	0.49917	
151030-Debo-Remi-O_46-F02	endoC5	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		15135	27032	34425	19637	0	14788	6573	6473	0	100	19.09	32.96	NaN	0.68	3224	542112	18007	3.32	4105	22.8	44763	11610	11128	25.94	37.61	4280	36.86	+	0.47175	0.69666	0.31784	0.48551	
151030-Debo-Remi-O_46-F03	endoC5	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Deamidation (NQ);Oxidation (M)		False	1	2		Standard		13470	29609	35937	23281	0	12656	8501	8387	0	114	23.66	36.03	NaN	0.9	4613	586446	20719	3.53	4794	23.14	60190	13710	13066	22.78	33.14	4998	36.46	+	0.47075	0.69938	0.33687	0.52308	
